Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
4.178518125,16.48282379,-17.20043152,19.96069153,31.08001819
4.188325125,20.86076981,-20.36410263,17.6491983,34.07877042
4.198133125,26.39057053,-23.84226974,13.79037277,38.14564746
4.207942125,31.72802124,-27.21819946,8.769513702,42.71302008
4.217751125,34.91938477,-29.91469208,5.982758789,46.36858459
4.227559125,35.69881393,-31.96931946,9.552086334,48.86394434
4.237368125,38.32540192,-32.03099121,8.267607422,50.62780029
4.247178125,36.27601364,-27.16745499,2.715503082,45.40257408
4.256988125,31.45409088,-19.94497421,-1.509910126,37.27521506
4.266797125,28.30943024,-15.04491394,-7.289840698,32.87727259
4.276606125,27.49078262,-13.21766373,-15.5577475,34.24168908
4.286415125,27.59152313,-13.32828369,-23.92504761,38.87599771
4.296224125,26.31063675,-13.61897919,-33.10845062,44.42854604
4.306034125,23.7340448,-13.22155563,-35.47173615,44.68062758
4.315843125,20.90522736,-12.31249603,-33.1777565,41.10218505
4.325651125,16.85405182,-10.80303497,-30.36330917,36.36887641
4.335451125,13.53934479,-10.30442184,-27.46353928,32.30698
4.345269125,10.88431595,-10.51982391,-25.38451263,29.55517739
4.355076125,9.389075317,-11.13908615,-24.46362762,28.47284763
4.364884125,8.306526489,-11.75400742,-24.36917404,28.30215038
4.374692125,7.82782196,-12.40560242,-24.87616974,28.87901641
4.384500125,7.382947083,-13.04567139,-25.33346878,29.43606784
4.394307125,6.468348999,-13.40282867,-25.55665466,29.57394043
